Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,No_Parking_spots,Total_house_Area,House_Age,No_Years_Last_Upgrade
28,20,2,98.0,11478,1,2,3,3,0,4,0,14,2,0,0,2,8,5,0,0,7,9,3,200.0,2,2,2,0,2,3,2,1218,0,0,486,1704,0,0,1,3,0,1704,1,0,2,0,3,1,2,7,4,1,2,0,2008.0,1,2,3,2,0,50,0,0,0,0,0,4,1,0,5,8,3,306000,257.0,1704,3,2
32,20,2,0.0,8544,1,2,0,3,0,1,0,17,2,0,0,2,5,6,0,0,3,3,2,0.0,3,2,1,3,2,3,5,0,0,0,1228,1228,0,2,1,3,0,1228,0,0,1,1,3,1,2,6,4,0,5,0,1966.0,2,2,3,2,0,65,0,0,0,0,0,2,1,0,6,8,3,149350,271.0,1228,42,2
33,20,2,85.0,11049,1,2,3,3,0,0,0,3,2,0,0,2,8,5,0,0,7,9,2,0.0,2,2,2,0,2,0,5,0,0,0,1234,1234,0,0,1,3,0,1234,0,0,2,0,3,1,2,7,4,0,5,0,2007.0,1,2,3,2,0,30,0,0,0,0,0,4,1,0,1,8,3,179900,242.0,1234,1,1
35,120,2,60.0,7313,1,2,3,3,0,4,0,14,2,0,3,2,9,5,2,0,4,5,1,246.0,0,2,2,0,2,3,2,1153,0,0,408,1561,0,0,1,3,0,1561,1,0,2,0,2,1,0,6,4,1,2,0,2005.0,0,2,3,2,203,47,0,0,0,0,0,4,1,0,8,8,3,277500,278.0,1561,2,2
36,60,2,108.0,13418,1,2,3,3,0,4,0,14,2,0,0,3,8,5,0,0,7,9,3,132.0,2,2,2,0,2,0,5,0,0,0,1117,1117,0,0,1,3,0,2452,0,0,3,1,4,1,2,9,4,1,2,2,2004.0,0,2,3,2,113,32,0,0,0,0,0,4,1,0,9,8,3,309000,230.0,2452,2,1
39,20,2,68.0,7922,1,2,3,3,0,4,0,10,2,0,0,2,5,7,0,0,7,9,2,0.0,3,1,1,3,2,3,2,731,0,0,326,1057,0,3,1,3,0,1057,1,0,1,0,3,1,2,5,4,0,5,3,1953.0,2,2,3,2,0,52,0,0,0,0,0,4,1,0,1,8,0,109000,246.0,1057,57,3
41,20,2,84.0,8658,1,2,3,3,0,4,0,10,2,0,0,2,6,5,0,0,8,10,1,101.0,3,2,1,3,2,3,4,643,0,0,445,1088,0,0,1,3,0,1324,0,0,2,0,3,1,3,6,4,1,4,0,1965.0,1,2,3,2,0,138,0,0,0,0,0,1,1,0,12,8,0,160000,220.0,1324,41,41
46,120,2,61.0,7658,1,2,3,3,0,4,0,14,2,0,3,2,9,5,2,0,4,5,1,412.0,0,2,2,0,2,3,2,456,0,0,1296,1752,0,0,1,3,0,1752,1,0,2,0,2,1,0,6,4,1,2,0,2005.0,1,2,3,2,196,82,0,0,0,0,0,4,1,0,2,8,3,319900,288.0,1752,5,5
48,20,0,84.0,11096,1,2,3,3,0,4,0,19,2,0,0,2,8,5,0,0,7,9,2,0.0,2,2,2,2,2,0,2,24,0,0,1632,1656,0,0,1,3,0,1656,0,0,2,0,3,1,2,7,4,0,5,0,2006.0,1,2,3,2,0,146,0,0,0,0,0,4,1,0,7,8,3,249700,275.0,1656,1,1
50,20,2,66.0,7742,1,2,3,3,0,4,0,17,2,0,0,2,5,7,0,0,3,3,2,0.0,3,2,1,3,2,3,1,763,0,0,192,955,0,0,1,3,0,955,1,0,1,0,3,1,3,6,4,0,5,0,1966.0,2,2,3,2,0,0,0,0,0,0,0,2,1,0,1,8,3,127000,386.0,955,41,41
55,80,2,60.0,7134,1,2,3,0,0,4,1,10,2,0,0,5,5,5,0,0,4,5,2,0.0,3,2,1,3,2,3,0,384,0,0,0,384,0,3,1,3,0,1360,0,0,1,0,3,1,3,6,2,1,4,3,1962.0,2,2,3,2,0,50,0,0,0,0,0,2,1,0,2,8,3,130000,286.0,1360,52,52
58,60,2,89.0,11645,1,2,0,3,0,0,0,3,2,0,0,3,7,5,0,0,7,9,2,0.0,2,2,2,2,2,3,5,0,0,0,860,860,0,0,1,3,0,1720,0,0,2,1,3,1,2,7,4,0,5,0,2004.0,1,2,3,2,0,70,0,0,0,0,0,4,1,0,8,8,3,196500,282.0,1720,2,2
60,20,2,60.0,7200,1,2,3,0,0,4,0,3,2,0,0,2,5,7,0,0,3,3,2,0.0,3,2,1,3,2,0,0,632,0,0,148,780,0,0,1,3,0,780,0,0,1,0,2,1,3,4,4,0,5,3,1973.0,2,2,3,2,196,0,0,0,0,0,0,2,1,0,1,8,3,124900,352.0,780,36,36
61,20,2,63.0,13072,1,2,3,3,0,4,0,18,4,0,0,2,6,5,0,0,7,9,2,0.0,3,2,2,2,2,3,0,941,0,0,217,1158,0,0,1,3,0,1158,1,0,1,1,3,1,2,5,4,0,5,3,2006.0,2,2,3,2,0,50,0,0,0,0,0,4,1,0,5,6,4,158000,288.0,1158,2,2
63,120,2,44.0,6442,1,2,0,3,0,4,0,14,2,0,3,2,8,5,0,0,7,9,3,178.0,2,2,2,2,1,2,2,24,0,0,1346,1370,0,0,1,3,0,1370,0,0,2,0,2,1,2,6,4,1,2,0,2006.0,1,2,3,2,120,49,0,0,0,0,0,4,1,0,10,8,3,202500,242.0,1370,1,1
66,60,2,76.0,9591,1,2,3,3,0,4,0,14,2,0,0,3,8,5,0,0,7,9,1,344.0,2,2,2,0,2,0,5,0,0,0,1143,1143,0,0,1,3,0,2473,0,0,2,1,4,1,2,9,4,1,2,2,2004.0,1,2,3,2,192,151,0,0,0,0,0,4,1,0,10,8,3,317000,284.0,2473,3,2
68,20,2,72.0,10665,1,2,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,1,167.0,2,2,2,2,2,0,2,1013,0,0,440,1453,0,0,1,3,0,1479,1,0,2,0,3,1,2,7,4,0,5,0,2003.0,1,2,3,2,144,29,0,0,0,0,0,4,1,0,6,8,3,226000,279.0,1479,4,4
69,30,3,47.0,4608,1,2,3,3,0,0,0,15,0,0,0,2,4,6,0,0,4,5,2,0.0,3,1,1,3,2,3,5,0,0,0,747,747,0,3,1,3,0,747,0,0,1,0,2,1,3,4,4,0,5,0,1945.0,2,2,3,2,0,0,0,0,0,0,0,4,1,0,6,8,3,80000,220.0,747,65,60
72,20,2,69.0,7599,1,2,3,3,0,0,0,9,2,0,0,2,4,6,0,0,3,6,2,0.0,3,2,1,3,2,3,0,565,0,0,280,845,0,3,1,3,0,845,1,0,1,0,2,1,3,4,4,0,5,3,1987.0,2,2,3,2,0,0,0,0,0,0,0,4,1,0,6,8,3,129500,180.0,845,25,1
77,20,2,0.0,8475,1,2,0,3,0,4,0,10,2,0,0,2,4,7,0,0,7,9,2,0.0,3,2,1,3,2,3,0,228,0,0,724,952,0,0,1,0,0,952,0,0,1,0,2,1,3,4,4,0,5,3,1956.0,2,2,3,2,0,0,0,0,0,0,0,4,1,0,4,8,3,135750,283.0,952,52,52
84,20,2,80.0,8892,1,2,0,3,0,4,0,10,2,0,0,2,5,5,0,0,4,5,0,66.0,3,2,1,3,2,3,5,0,0,0,1065,1065,0,2,1,3,0,1065,0,0,1,1,3,1,3,6,4,0,5,3,1974.0,2,2,3,2,74,0,0,0,0,0,0,4,1,0,7,0,3,126500,230.0,1065,47,47
90,20,2,60.0,8070,1,2,3,3,0,4,0,3,2,0,0,2,4,5,0,0,7,9,2,0.0,3,2,2,2,2,3,2,588,0,0,402,990,0,0,1,3,0,990,1,0,1,0,3,1,3,5,4,0,5,4,0.0,3,3,4,2,0,0,0,0,0,0,0,4,1,0,8,8,3,123600,0.0,990,13,12
95,60,2,69.0,9337,1,2,0,3,0,4,0,3,2,0,0,3,6,5,0,0,7,9,2,0.0,3,1,2,2,2,3,2,648,0,0,176,824,0,0,1,3,0,1786,1,0,2,1,3,1,2,7,4,0,5,0,1997.0,1,2,3,2,0,162,0,0,0,0,0,4,1,0,5,8,3,204750,342.0,1786,10,10
97,20,2,78.0,10264,1,2,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,1,183.0,2,2,2,2,2,0,0,1162,0,0,426,1588,0,0,1,3,0,1588,0,0,2,0,3,1,2,6,4,0,5,0,1999.0,1,2,3,2,158,29,0,0,0,0,0,4,1,0,8,8,3,214000,236.0,1588,7,7
98,20,2,73.0,10921,1,2,3,1,0,4,0,5,2,0,0,2,4,5,2,0,3,3,1,48.0,3,2,1,3,2,3,4,520,0,0,440,960,0,3,1,1,0,960,1,0,1,0,3,1,3,6,4,0,5,0,1965.0,0,2,3,1,120,0,0,0,0,0,0,4,1,0,5,8,3,94750,432.0,960,42,42
101,20,2,0.0,10603,1,2,0,3,0,4,0,12,2,0,0,2,6,7,0,0,5,6,1,28.0,3,2,2,3,2,2,0,1200,0,0,410,1610,0,2,1,3,0,1610,1,0,2,0,3,1,2,6,4,2,4,0,1977.0,1,2,3,2,168,68,0,0,0,0,0,4,1,0,2,8,3,205000,240.0,1610,33,9
102,60,2,77.0,9206,1,2,3,3,0,4,0,18,2,0,0,3,6,5,0,0,3,3,1,336.0,2,2,1,2,2,3,5,0,0,0,741,741,0,3,1,3,0,1732,0,0,2,1,3,1,2,7,4,1,4,0,1985.0,0,2,3,2,192,46,0,0,0,0,0,4,1,0,6,8,3,178000,238.0,1732,25,25
104,20,2,94.0,10402,1,2,0,3,0,0,0,3,2,0,0,2,7,5,0,0,7,9,2,0.0,3,2,2,2,2,3,5,0,0,0,1226,1226,0,0,1,3,0,1226,0,0,2,0,3,1,2,6,4,0,5,0,2009.0,1,2,3,2,0,36,0,0,0,0,0,4,1,0,5,8,3,198900,246.0,1226,1,1
111,50,2,75.0,9525,1,2,3,3,0,4,0,5,2,0,0,0,6,4,0,0,8,10,2,0.0,3,2,1,3,0,3,4,444,0,0,550,994,0,2,1,3,0,1855,0,0,2,0,4,1,3,7,4,0,5,0,1954.0,2,2,3,2,182,0,0,0,0,0,0,4,1,0,10,8,3,136900,325.0,1855,52,34
112,80,2,0.0,7750,1,2,0,3,0,4,0,6,2,0,0,5,7,5,0,0,7,9,2,0.0,3,2,2,2,2,3,2,250,0,0,134,384,0,0,1,3,0,1430,0,0,2,1,3,1,3,7,4,1,4,2,2000.0,0,2,3,2,180,0,0,0,0,0,0,4,1,0,4,8,3,180000,200.0,1430,10,10
118,20,2,74.0,8536,1,2,3,3,0,0,0,5,2,0,0,2,5,5,0,0,7,9,2,0.0,3,2,2,2,2,3,5,0,0,0,1125,1125,0,2,1,3,0,1125,0,0,1,1,2,1,3,5,4,0,5,0,2007.0,2,2,3,2,80,64,0,0,0,0,0,4,1,0,4,6,4,155000,215.0,1125,1,0
120,60,2,65.0,8461,1,2,3,3,0,4,0,3,2,0,0,3,6,5,0,0,7,9,2,0.0,2,2,2,2,2,3,5,0,0,0,728,728,0,0,1,3,0,1456,0,0,2,1,3,1,2,8,4,1,2,0,2005.0,0,2,3,2,0,24,0,0,0,0,0,4,1,0,7,6,4,163990,195.0,1456,1,0
124,120,2,55.0,7892,1,2,3,3,0,4,0,18,2,0,3,2,6,5,0,0,5,6,2,0.0,2,2,2,2,2,3,2,300,0,0,899,1199,0,0,1,3,0,1199,0,0,2,0,2,1,2,5,4,0,5,0,1993.0,1,2,3,2,0,63,0,0,0,0,0,4,1,0,3,8,3,153900,265.0,1199,15,15
125,20,2,48.0,17043,1,2,0,3,0,1,0,12,2,0,0,2,6,5,0,0,3,3,2,0.0,3,1,1,2,0,3,5,0,0,0,1362,1362,0,3,1,3,0,1586,0,0,2,0,3,1,3,7,4,1,4,0,1979.0,2,2,3,2,192,0,0,0,0,0,0,4,1,0,1,8,3,181000,217.0,1586,30,11
128,45,3,55.0,4388,1,2,0,0,0,4,0,15,1,0,0,1,5,7,0,0,9,10,2,0.0,3,1,0,3,2,3,3,116,0,0,556,672,0,0,1,3,0,840,0,0,1,0,3,1,3,5,4,1,4,4,0.0,3,3,4,0,0,0,0,0,0,0,0,4,1,0,6,8,3,87000,0.0,840,77,57
129,60,2,69.0,7590,1,2,3,3,0,4,0,10,3,0,0,3,6,5,0,0,7,9,1,266.0,3,2,1,3,2,3,1,512,0,0,148,660,0,3,1,3,0,1348,0,0,1,1,3,1,3,6,4,1,1,0,1966.0,1,2,3,2,188,108,0,0,0,0,0,4,1,0,7,8,3,155000,226.0,1348,40,40
131,60,2,88.0,14200,1,2,3,3,0,0,0,10,2,0,0,3,7,6,0,0,4,5,1,309.0,3,2,1,3,2,3,4,445,0,0,479,924,0,0,1,3,0,2157,0,0,2,1,4,1,2,8,4,2,2,0,1966.0,0,2,3,2,105,66,0,0,0,0,0,0,1,0,5,8,3,226000,243.0,2157,40,40
132,60,2,0.0,12224,1,2,0,3,0,0,0,6,2,0,0,3,6,5,0,0,7,9,1,40.0,2,2,2,2,2,3,2,695,0,0,297,992,0,0,1,3,0,2054,1,0,2,1,3,1,2,7,4,1,4,2,2000.0,1,2,3,2,24,48,0,0,0,0,0,4,1,0,7,8,3,244000,195.0,2054,9,9
133,20,2,75.0,7388,1,2,3,3,0,0,0,10,2,0,0,2,5,6,0,0,4,5,2,0.0,3,2,1,3,2,3,4,405,0,0,658,1063,0,2,1,3,0,1327,1,0,1,0,3,1,2,7,4,0,5,3,1974.0,2,2,3,2,0,0,0,0,0,0,0,4,1,0,7,8,3,150750,312.0,1327,48,5
134,20,2,0.0,6853,1,2,0,3,0,4,0,21,2,0,0,2,8,5,0,0,7,9,1,136.0,2,2,2,0,2,3,2,1005,0,0,262,1267,0,0,1,3,0,1296,1,0,2,0,2,1,2,6,4,0,5,0,2001.0,0,2,3,2,192,25,0,0,0,0,0,4,1,0,6,8,3,220000,235.0,1296,8,7
136,20,2,80.0,10400,1,2,3,3,0,4,0,12,2,0,0,2,7,6,2,0,5,6,1,288.0,3,2,2,3,2,3,5,0,0,0,1304,1304,0,2,1,3,0,1682,0,0,2,0,3,1,3,7,4,1,2,0,1970.0,2,2,3,2,98,0,0,0,0,0,0,2,1,0,5,8,3,174000,265.0,1682,38,38
137,20,2,0.0,10355,1,2,0,3,0,0,0,10,2,0,0,2,5,5,0,0,4,5,1,196.0,3,2,1,3,2,3,1,695,0,0,519,1214,0,3,1,3,0,1214,0,0,2,0,3,1,3,5,4,1,1,0,1967.0,1,2,3,2,0,111,0,0,0,0,0,4,1,0,7,8,3,143000,318.0,1214,40,40
139,60,2,73.0,9066,1,2,0,3,0,4,0,3,2,0,0,3,8,5,0,0,7,9,1,320.0,2,2,2,2,2,2,2,668,0,0,336,1004,0,0,1,3,0,1852,0,0,2,1,3,1,2,7,4,2,4,0,1999.0,0,2,3,2,224,106,0,0,0,0,0,0,1,0,12,8,3,230000,220.0,1852,9,8
140,60,2,65.0,15426,1,2,0,3,0,4,0,3,2,0,0,3,6,5,0,0,7,9,2,0.0,3,2,2,2,2,3,2,821,0,0,107,928,0,0,1,3,0,1764,1,0,2,1,3,1,2,7,4,0,5,0,1997.0,1,2,3,2,276,99,0,0,0,0,0,2,1,0,8,8,3,231500,235.0,1764,12,12
141,20,2,70.0,10500,1,2,3,3,0,2,0,10,2,0,0,2,4,5,0,0,3,3,2,0.0,3,2,1,3,2,3,0,432,0,0,432,864,0,3,1,3,0,864,0,0,1,0,3,1,3,5,4,1,3,4,0.0,3,3,4,2,0,0,0,0,0,0,0,4,1,0,4,4,3,115000,0.0,864,39,39
142,20,2,78.0,11645,1,2,3,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,2,0.0,2,2,2,2,2,0,2,1300,0,0,434,1734,0,0,1,3,0,1734,1,0,2,0,3,1,2,7,4,0,5,0,2005.0,0,2,3,2,160,24,0,0,0,0,0,4,1,0,1,8,3,260000,330.0,1734,1,1
143,50,2,71.0,8520,1,2,3,3,0,0,0,10,0,0,0,0,5,4,0,0,1,10,2,0.0,3,0,1,3,2,3,4,507,0,0,403,910,0,1,1,3,0,1385,0,0,2,0,4,1,3,6,4,0,5,3,2000.0,2,2,3,2,0,0,0,0,0,0,0,2,1,0,6,8,3,166000,360.0,1385,58,58
144,20,2,78.0,10335,1,2,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,1,183.0,2,2,2,2,2,1,2,679,0,0,811,1490,0,0,1,3,0,1501,1,0,2,0,3,1,2,6,4,0,5,0,1999.0,1,2,3,2,144,29,0,0,0,0,0,4,1,0,6,8,3,204000,288.0,1501,10,10
147,30,3,51.0,6120,1,2,3,3,0,0,0,1,2,0,0,2,5,7,0,0,8,10,2,0.0,3,2,0,3,2,3,1,209,0,0,506,715,0,3,1,0,0,875,1,0,1,0,2,1,3,5,4,0,5,3,1931.0,2,0,3,2,48,0,0,0,0,0,0,4,1,0,11,8,3,105000,180.0,875,78,16
148,60,2,0.0,9505,1,2,0,3,0,1,0,6,2,0,0,3,7,5,0,0,7,9,1,180.0,2,2,2,2,2,3,5,0,0,0,884,884,0,0,1,3,0,2035,0,0,2,1,3,1,2,8,4,1,2,2,2001.0,0,2,3,2,144,48,0,0,0,0,0,4,1,0,5,8,3,222500,217.0,2035,9,9
149,20,2,63.0,7500,1,2,3,3,0,4,0,18,2,0,0,2,7,5,0,0,7,9,1,120.0,3,2,2,2,2,3,2,680,0,0,400,1080,0,0,1,3,0,1080,1,0,1,0,3,1,2,6,4,0,5,4,0.0,3,3,4,2,0,0,0,0,0,0,0,4,1,0,4,8,3,141000,0.0,1080,4,3
150,50,3,0.0,6240,1,2,3,3,0,4,0,1,2,0,0,0,5,4,0,0,4,5,2,0.0,3,2,0,2,2,3,5,0,0,0,896,896,0,2,1,0,0,1344,0,0,1,0,3,1,3,7,4,0,5,3,1936.0,2,0,3,2,200,114,0,0,0,0,0,4,1,0,4,8,3,115000,240.0,1344,70,56
153,60,2,0.0,14803,1,2,0,3,0,1,0,12,2,0,0,3,6,5,0,0,3,3,1,252.0,3,2,1,3,2,3,4,416,0,0,409,825,0,2,1,3,0,1993,0,0,2,1,4,1,3,8,4,1,2,0,1971.0,1,2,3,2,0,66,0,0,0,0,0,1,1,0,6,8,3,190000,247.0,1993,35,35
158,60,2,92.0,12003,1,2,3,3,0,0,0,21,2,0,0,3,8,5,0,0,7,9,1,84.0,2,2,2,0,2,3,5,0,0,0,774,774,0,0,1,3,0,1968,0,0,2,1,4,1,0,8,4,1,2,2,2009.0,0,2,3,2,0,75,0,0,0,0,0,4,1,0,5,6,4,269500,226.0,1968,1,0
159,60,0,100.0,12552,1,2,3,3,0,0,0,19,2,0,0,3,7,5,0,0,7,9,2,0.0,2,2,2,2,2,3,2,222,0,0,769,991,0,0,1,3,0,1947,0,0,2,1,3,1,2,8,4,1,2,0,2004.0,1,2,3,2,0,136,0,0,0,0,0,1,1,0,5,8,3,254900,339.0,1947,6,5
161,20,2,0.0,11120,1,2,0,3,0,1,0,22,2,0,0,2,6,6,0,0,5,6,2,0.0,3,2,2,2,2,3,1,660,0,0,572,1232,0,3,1,3,0,1232,0,0,2,0,3,1,3,6,4,0,5,0,1984.0,2,2,3,2,0,0,0,0,0,0,0,4,1,0,6,8,3,162500,258.0,1232,24,24
163,20,2,95.0,12182,1,2,3,3,0,0,0,14,2,0,0,2,7,5,0,0,7,9,1,226.0,2,2,2,2,2,2,1,1201,0,0,340,1541,0,0,1,3,0,1541,0,0,2,0,3,1,2,7,4,1,2,0,2005.0,1,2,3,2,0,70,0,0,0,0,0,4,1,0,5,6,4,220000,266.0,1541,5,5
164,45,2,55.0,5500,1,2,3,3,0,4,0,15,2,0,0,1,4,6,0,0,4,5,2,0.0,3,2,1,3,2,3,5,0,0,0,882,882,0,0,1,3,0,882,0,0,1,0,1,1,3,4,4,0,5,4,0.0,3,3,4,2,0,0,0,0,0,0,0,2,1,0,4,8,3,103200,0.0,882,51,51
168,60,2,86.0,10562,1,2,3,3,0,4,0,14,2,0,0,3,8,5,0,0,7,9,3,300.0,2,2,2,0,2,3,2,1288,0,0,294,1582,0,0,1,3,0,2161,1,0,1,1,3,1,0,8,4,1,2,0,2007.0,0,2,3,2,178,120,0,0,0,0,0,4,1,0,11,6,4,325624,263.0,2161,0,0
169,60,2,62.0,8244,1,2,0,3,0,4,0,6,2,0,0,3,7,5,0,0,7,9,2,0.0,2,2,2,2,2,3,5,0,0,0,840,840,0,0,1,3,0,1720,0,0,2,1,3,1,2,7,4,1,2,0,2004.0,0,2,3,2,100,48,0,0,0,0,0,4,1,0,5,8,3,183500,220.0,1720,3,3
187,80,2,0.0,9947,1,2,0,3,0,1,0,9,2,0,0,5,7,5,0,0,3,3,2,0.0,3,2,2,2,2,0,2,611,0,0,577,1188,0,0,1,3,0,1217,1,0,2,0,3,1,2,6,4,0,5,0,1990.0,2,2,3,2,168,27,0,0,0,0,0,0,1,0,6,8,3,173000,248.0,1217,19,18
193,20,2,68.0,9017,1,2,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,2,0.0,2,2,2,2,2,0,2,560,0,0,871,1431,0,0,1,3,0,1431,1,0,2,0,3,1,2,6,4,0,5,0,1999.0,0,2,3,2,0,35,0,0,0,0,0,4,1,0,9,8,3,192000,333.0,1431,10,10
195,20,2,60.0,7180,1,2,0,3,0,4,0,3,2,0,0,2,5,7,2,0,3,3,2,0.0,3,2,1,3,2,0,0,390,0,0,474,864,0,3,1,3,0,864,0,0,1,0,3,1,3,5,4,0,5,3,1989.0,2,2,3,2,0,0,0,0,0,0,0,4,1,0,5,8,3,127000,352.0,864,36,36
201,20,3,80.0,8546,1,2,3,3,0,0,0,5,2,0,0,2,4,5,0,0,7,9,2,0.0,3,2,2,2,2,3,5,0,0,0,1121,1121,0,0,1,3,0,1121,0,0,2,0,2,1,3,5,4,0,5,0,2003.0,1,2,3,2,132,64,0,0,0,0,0,4,1,0,3,8,3,140000,220.0,1121,7,6
204,120,3,0.0,4438,1,2,3,3,0,4,0,3,2,0,3,2,6,5,0,0,7,9,1,205.0,2,2,2,2,2,0,2,662,0,0,186,848,0,0,1,3,0,848,1,0,1,0,1,1,2,3,4,1,2,0,2004.0,1,2,3,2,149,0,0,0,0,0,0,4,1,0,1,8,3,149000,210.0,848,4,4
205,50,3,50.0,3500,1,0,3,3,0,4,0,15,2,0,0,0,5,7,0,0,0,0,2,0.0,3,2,1,3,2,3,3,312,0,0,408,720,0,3,1,3,0,1284,0,0,1,1,2,1,3,5,4,0,5,3,1948.0,2,2,3,2,0,35,0,0,0,0,0,3,1,0,4,8,3,110000,240.0,1284,62,59
